?cls	?pred	?val	?synType
<https://spec.industrialontologies.org/ontology/construct/MeasurementProcess>	<http://www.w3.org/2000/01/rdf-schema#label>	"measurement process"@en-us	
<http://purl.obolibrary.org/obo/BFO_0000202>	<http://www.w3.org/2000/01/rdf-schema#label>	"temporal interval"@en	
<https://spec.industrialontologies.org/ontology/construct/ManufacturerRole>	<http://www.w3.org/2000/01/rdf-schema#label>	"manufacturer role"@en-us	
<http://purl.obolibrary.org/obo/BFO_0000002>	<http://www.w3.org/2000/01/rdf-schema#label>	"continuant"@en	
<http://purl.obolibrary.org/obo/BFO_0000029>	<http://www.w3.org/2000/01/rdf-schema#label>	"site"@en	
<https://spec.industrialontologies.org/ontology/construct/CommercialServiceAgreement>	<http://www.w3.org/2000/01/rdf-schema#label>	"commercial service agreement"@en-us	
<https://spec.industrialontologies.org/ontology/construct/MaterialResource>	<http://www.w3.org/2000/01/rdf-schema#label>	"material resource"@en-us	
<https://spec.industrialontologies.org/ontology/construct/DesignativeInformationContentEntity>	<http://www.w3.org/2000/01/rdf-schema#label>	"designative information content entity"@en-us	
<https://spec.industrialontologies.org/ontology/construct/OrganizationIdentifier>	<http://www.w3.org/2000/01/rdf-schema#label>	"organization identifier"@en-us	
<https://spec.industrialontologies.org/ontology/construct/MeasurementCapability>	<http://www.w3.org/2000/01/rdf-schema#label>	"measurement capability"@en-us	
<https://spec.industrialontologies.org/ontology/construct/Algorithm>	<http://www.w3.org/2000/01/rdf-schema#label>	"algorithm"@en-us	
<http://purl.obolibrary.org/obo/BFO_0000144>	<http://www.w3.org/2000/01/rdf-schema#label>	"process profile"@en	
<https://spec.industrialontologies.org/ontology/construct/PlanSpecification>	<http://www.w3.org/2000/01/rdf-schema#label>	"plan specification"@en-us	
<https://spec.industrialontologies.org/ontology/construct/MaterialLocationChangeProcess>	<http://www.w3.org/2000/01/rdf-schema#label>	"material location change process"@en-us	
<http://purl.obolibrary.org/obo/BFO_0000011>	<http://www.w3.org/2000/01/rdf-schema#label>	"spatiotemporal region"@en	
<http://purl.obolibrary.org/obo/BFO_0000020>	<http://www.w3.org/2000/01/rdf-schema#label>	"specifically dependent continuant"@en	
<https://spec.industrialontologies.org/ontology/construct/MaterialComponentRole>	<http://www.w3.org/2000/01/rdf-schema#label>	"material component role"@en-us	
<https://spec.industrialontologies.org/ontology/construct/AssemblyProcess>	<http://www.w3.org/2000/01/rdf-schema#label>	"assembly process"@en-us	
<https://spec.industrialontologies.org/ontology/construct/ServiceProvider>	<http://www.w3.org/2000/01/rdf-schema#label>	"service provider"@en-us	
<http://purl.obolibrary.org/obo/BFO_0000034>	<http://www.w3.org/2000/01/rdf-schema#label>	"function"@en	
<https://spec.industrialontologies.org/ontology/construct/EncodedAlgorithm>	<http://www.w3.org/2000/01/rdf-schema#label>	"encoded algorithm"@en-us	
<https://spec.industrialontologies.org/ontology/construct/GainOfRole>	<http://www.w3.org/2000/01/rdf-schema#label>	"gain of role"@en-us	
<https://spec.industrialontologies.org/ontology/construct/MeasurementInformationContentEntity>	<http://www.w3.org/2000/01/rdf-schema#label>	"measurement information content entity"@en-us	
<https://spec.industrialontologies.org/ontology/construct/BuyingBusinessProcess>	<http://www.w3.org/2000/01/rdf-schema#label>	"buying business process"@en-us	
<https://spec.industrialontologies.org/ontology/construct/TemporalDurationValueExpression>	<http://www.w3.org/2000/01/rdf-schema#label>	"temporal duration value expression"@en-us	
<https://spec.industrialontologies.org/ontology/construct/DirectiveInformationContentEntity>	<http://www.w3.org/2000/01/rdf-schema#label>	"directive information content entity"@en-us	
<http://purl.obolibrary.org/obo/BFO_0000004>	<http://www.w3.org/2000/01/rdf-schema#label>	"independent continuant"@en	
<https://spec.industrialontologies.org/ontology/construct/DesignSpecification>	<http://www.w3.org/2000/01/rdf-schema#label>	"design specification"@en-us	
<https://spec.industrialontologies.org/ontology/construct/InputSpecification>	<http://www.w3.org/2000/01/rdf-schema#label>	"input specification"@en-us	
<https://spec.industrialontologies.org/ontology/construct/ComputingProcess>	<http://www.w3.org/2000/01/rdf-schema#label>	"computing process"@en-us	
<https://spec.industrialontologies.org/ontology/construct/OrganizedGroupOfAgents>	<http://www.w3.org/2000/01/rdf-schema#label>	"organized group of agents"@en-us	
<https://spec.industrialontologies.org/ontology/construct/CustomerRole>	<http://www.w3.org/2000/01/rdf-schema#label>	"customer role"@en-us	
<http://purl.obolibrary.org/obo/BFO_0000141>	<http://www.w3.org/2000/01/rdf-schema#label>	"immaterial entity"@en	
<http://purl.obolibrary.org/obo/BFO_0000146>	<http://www.w3.org/2000/01/rdf-schema#label>	"fiat surface"@en	
