# COPI IRI map: readable → numeric (88 entries, next free COPI_0000089)
# Generated 2026-06-20 for branch fix/iri-migration-numeric
old_iri	new_iri
https://www.inf.ufrgs.br/ontologies/copi/Operation	https://www.inf.ufrgs.br/ontologies/copi/COPI_0000001
https://www.inf.ufrgs.br/ontologies/copi/participatesIn	https://www.inf.ufrgs.br/ontologies/copi/COPI_0000002
https://www.inf.ufrgs.br/ontologies/copi/MomentumTransfer	https://www.inf.ufrgs.br/ontologies/copi/COPI_0000003
https://www.inf.ufrgs.br/ontologies/copi/HeatTransfer	https://www.inf.ufrgs.br/ontologies/copi/COPI_0000004
https://www.inf.ufrgs.br/ontologies/copi/MassTransfer	https://www.inf.ufrgs.br/ontologies/copi/COPI_0000005
https://www.inf.ufrgs.br/ontologies/copi/MechanicalSeparation	https://www.inf.ufrgs.br/ontologies/copi/COPI_0000006
https://www.inf.ufrgs.br/ontologies/copi/ChemicalReaction	https://www.inf.ufrgs.br/ontologies/copi/COPI_0000007
https://www.inf.ufrgs.br/ontologies/copi/PhaseChange	https://www.inf.ufrgs.br/ontologies/copi/COPI_0000008
https://www.inf.ufrgs.br/ontologies/copi/MaterialContainment	https://www.inf.ufrgs.br/ontologies/copi/COPI_0000009
https://www.inf.ufrgs.br/ontologies/copi/FlowControl	https://www.inf.ufrgs.br/ontologies/copi/COPI_0000010
https://www.inf.ufrgs.br/ontologies/copi/LiquidPressureIncrease	https://www.inf.ufrgs.br/ontologies/copi/COPI_0000011
https://www.inf.ufrgs.br/ontologies/copi/GasPressureIncrease	https://www.inf.ufrgs.br/ontologies/copi/COPI_0000012
https://www.inf.ufrgs.br/ontologies/copi/GasAbsorption	https://www.inf.ufrgs.br/ontologies/copi/COPI_0000013
https://www.inf.ufrgs.br/ontologies/copi/Vaporization	https://www.inf.ufrgs.br/ontologies/copi/COPI_0000014
https://www.inf.ufrgs.br/ontologies/copi/LossOfContainment	https://www.inf.ufrgs.br/ontologies/copi/COPI_0000015
https://www.inf.ufrgs.br/ontologies/copi/MomentumTransferDevice	https://www.inf.ufrgs.br/ontologies/copi/COPI_0000016
https://www.inf.ufrgs.br/ontologies/copi/HeatTransferDevice	https://www.inf.ufrgs.br/ontologies/copi/COPI_0000017
https://www.inf.ufrgs.br/ontologies/copi/MassTransferDevice	https://www.inf.ufrgs.br/ontologies/copi/COPI_0000018
https://www.inf.ufrgs.br/ontologies/copi/MechanicalSeparationDevice	https://www.inf.ufrgs.br/ontologies/copi/COPI_0000019
https://www.inf.ufrgs.br/ontologies/copi/ChemicalReactor	https://www.inf.ufrgs.br/ontologies/copi/COPI_0000020
https://www.inf.ufrgs.br/ontologies/copi/PhaseChangeDevice	https://www.inf.ufrgs.br/ontologies/copi/COPI_0000021
https://www.inf.ufrgs.br/ontologies/copi/ContainmentDevice	https://www.inf.ufrgs.br/ontologies/copi/COPI_0000022
